amount,debtorIban
98996.1,IS25 0701 3592 9770 4288 1041 92
52682.15,LT91 2992 8703 1165 7786
88528.92,MR18 2742 8992 6038 6444 7690 628
17513.57,FR09 2279 4440 23DS SZCG 0JMI P96
82944.02,FR93 1940 9559 80KP E6Q6 A380 L28
67974.83,BG50 KQVI 7868 82CF RH4M ZV
71020.11,AL02 9129 5276 WSWL NW59 KDFX O6SD
67659.04,GL74 2201 8359 6192 93
13503.59,CY19 3445 5364 TVPZ F0B5 NVRC OZPI
75420.6,FR77 6692 9075 80OY UBZW SBKY A26
88807.61,IL73 1053 0330 4441 5489 601
22960.87,FR48 6055 0942 1824 FCHV AE6J G57
25900.09,SE60 1838 1632 6177 6574 8379
87517.18,FR69 8707 1734 95RC ZPGK VJV9 737
35595.06,KZ64 268L 4XKX AZZU IXQ5
68468.61,LU18 897E XF6P HB06 BHKB
32405.02,NO27 6222 2147 234
88277.08,BA98 7317 5132 1136 3931
23291.13,KZ49 311B BH0J WKKY 6D04
49549.98,LI97 2218 8USK EBIE SNB0 T
77123.51,AL67 6042 2950 M1HO XENG ED4E 1AXU
8139.77,KW72 OKIM GBZY K6CD JLOY URLV B7DU LA
59405.84,GB44 QEPN 3583 1125 6368 15
63652.98,NO88 9093 6328 539
846.99,FR96 6507 1399 19NZ ZG1K DMFT F12
4829.16,LV45 BMVR GJPV 80LA NJXD Q
94076.13,LI58 9607 321A CC9G JFTT Y
58557.07,CR23 5733 9001 0969 4803 8
31059.42,PS28 SHQX SGMI GTCS DAKQ JRQJ CJRW Y
65890.32,RS19 9296 0530 2798 1453 22
64777.16,BH16 LZXD OWJN CQJL AKEI CM
88383.34,FR63 0092 5570 23A4 AV21 KXLC F94
84818.97,FI93 4794 8850 1863 12
45016.23,CZ93 5496 1880 7090 8499 3913
42439.95,DK15 1697 9514 8507 95
62199.0,AL07 2818 7044 NVHW 6LEW BYZ9 6ODV
98546.85,MR24 6793 6603 7963 1035 6069 173
42957.5,NL62 EHXX 0564 5333 71
33380.96,FR47 9254 8552 89YB THF4 IBE4 A62
84961.64,MC34 8880 7317 28SN SCEI YYJE C58
80564.3,FR56 9211 5342 35NQ ARH7 C6FH Q88
91477.73,BR14 5069 0153 1840 6033 0384 073J C
27371.05,LV30 UOWB WXS9 UZRE HMQO M
70293.17,AZ93 OVOW GCLQ BZPK SOXV NKGT ORFB
1646.0,SE93 4218 3820 3953 0360 9884
81940.05,BR37 9243 5309 0563 1389 6271 566F I
10055.25,DK80 3483 6101 7606 57
4890.54,DE11 9589 2219 8656 6762 79
37292.46,GL19 9827 8176 0920 82
2359.81,AE08 6938 8346 6873 3478 935
66160.74,CY65 6938 3175 WYSF 3TRD TXT3 ONGM
51559.45,NL21 VPAO 2630 7865 12
28728.76,KZ73 794J JKGI LVD4 BIJ2
73075.83,CY91 1252 3499 GEE4 HTGE NXXI PRES
32984.8,TN71 6459 6883 5282 0884 1032
69708.55,ME09 9384 4569 9870 8282 12
39712.37,CY69 0495 0641 C4RL ZKKI QRKH BEZJ
42395.54,VG71 FLIZ 0048 7645 8172 6580
67760.8,LU03 781G QH21 QUVA HH6B
87094.12,RS93 2165 5128 9796 8621 51
76481.52,PT55 6791 2259 5732 2528 6291 8
84561.75,LU96 700S 7MR7 BUFD OF2D
26466.09,FR51 0387 3307 65TL 7W5M MVLD 755
74956.44,SK05 0594 2287 5109 7867 5201
51573.98,BA38 9086 2664 3678 1635
34793.04,GB97 PNXX 4572 6759 7913 61
98004.02,TR25 7097 9LG2 KGCW TGY6 01AH FU
19922.05,GI59 MAHQ HZZ8 GIF5 IRFH UAX
21204.3,PT30 8947 6609 7310 3569 2444 3
75207.22,TN02 3659 2120 8490 7842 4351
43051.27,FR83 0101 7443 69KS CHDN CYUM Y19
74317.4,MK04 820H 9UG5 80PN 411
40340.29,BE78 1039 8134 6036
83439.75,FR55 4889 0744 752P JCFL VHBI J46
29019.46,LB23 0113 PJ5W SXM1 KBPY 9U76 OB1T
46648.51,PT92 6411 8457 2080 3300 3026 2
94645.87,BA43 6602 1577 4809 3890
70170.41,TR12 1205 9WXO 30YA GZWQ YTF8 SA
6585.3,SM33 V629 1579 933D IWF2 QWTQ F5P
39942.5,SE46 0788 1055 5713 5700 3695
95032.95,EE18 6197 1128 5546 9974
99330.99,FR22 9635 7530 71QD DQFR JMVE 366
20577.75,FR19 7145 6815 83TL ZOLA V6AR G54
90941.45,SM39 G650 5972 558I F0HI QWXO X72
27327.34,FR12 2445 8110 32SF GFNK ARTR H39
79726.4,TN32 4344 8997 5042 0260 5563
27621.23,FR31 4965 0949 81GP C0C6 TBK6 P03
8587.05,LB73 7460 FKLN C1FX LK1L YQ0B UCTV
45515.11,GT93 M2GX FCQ3 OD9W B4MO IWCZ HJXY
73404.36,NL09 UPRM 2150 5405 90
95829.39,PK24 GKKT 7HNS 5DI4 WY8F 0QLZ
34296.3,IT27 A990 0742 380Y YAFI EHDR HPL
70467.32,ME82 0270 5184 1582 4264 93
86290.08,AZ98 NDUE 5AML EIZX 3H7R OTLE B7MP
30391.75,DE35 8426 6788 5869 4204 62
1678.5,FR06 8295 0926 57L2 YOCQ T8EF F95
15401.0,SM71 U478 7884 920U A284 NVBD 9ES
63560.68,HR44 6599 3633 7391 3153 3
32800.75,FR27 7837 2962 28QJ YDVR ZJLK K12
3812.0,RS20 0022 0587 2034 7719 34
95563.51,FR25 0873 2577 0296 O6UC 29XY U16
55720.1,AT48 6342 8236 5892 7003
14596.35,IS34 2981 1837 9887 3537 5348 94
75390.83,MC42 3839 5649 712F S48O NZSU T30
87933.15,RS56 4330 9492 0678 9382 41
53819.68,SA78 38EH ER8P TEKZ C0GQ RRWL
94801.55,RS77 8838 0248 6077 8640 17
59430.14,LT48 0539 1612 3269 2989
79374.38,FR95 1588 2905 14FK NYXV WTHN D28
80845.65,LV08 RKCJ WY0K MHCZ X65Q H
70553.59,FO81 0180 1215 1760 18
64275.2,CZ91 8309 3352 1997 1522 4386
20434.62,AZ70 LXVP HOOW GTQQ UOPQ QCH8 9UVP
98231.74,GE52 XV33 4492 2430 1766 71
70781.84,GT37 YEDW BTT0 SY3Y QEPQ JEZT LI7T
19969.0,SE39 8699 7829 4458 6855 5136
53042.69,LI14 7766 1TYB IKWC 5XEF X
64774.54,FR62 2991 1896 32EM E3NH WV9J O68
30764.6,FR21 8498 3804 53NZ UB9P VKR2 F21
87496.0,SE91 2485 7565 7049 3692 5924
19229.57,LV20 TFWI CEU8 I2JX 6CU1 S
99929.22,TN06 5096 2400 7200 2686 2027
44751.8,NL35 KFJQ 0914 3769 68
70796.1,IE46 LOMU 2683 5810 3963 39
658.91,PL49 5707 7239 8835 6597 2849 3143
80627.26,SE31 4517 4116 0631 4200 4313
9028.51,RS59 0522 8486 2293 1530 99
52488.18,AZ83 HFOI IUVN FN46 PWTR DSG8 EOXX
61386.76,FR74 4724 2122 73DU UUBJ O9WX 922
87832.72,FR51 4637 2228 52TM AT7M HQ9P C76
74798.51,LV19 WCRM QW0P RTY8 2AR2 L
57.33,SA76 74GM YF4Z AFFP LTXI F682
93891.99,CR58 1264 6642 2510 3093 3
16334.59,VG41 RWRZ 5196 4343 6190 1203
24336.47,MT20 GRDG 6377 7A0I E4BC HXOZ SAWI DSN
33012.66,FR63 5596 6959 39P2 WXRM JZK2 M61
30611.4,PS58 EQWB V9IK WRBE ZAKE ZDMZ 9WMZ C
96837.32,ES93 5189 6572 6073 9119 9922
67472.04,FR92 5913 9575 47CC 0QJI YFYN G25
79527.69,PS70 QDXE GVZ8 WQWB FWHJ PJKX 91RW E
54049.46,PS08 WKWA 6HLU 2OXE BZAK A0WG 9YKP L
16945.27,AE74 9778 1007 1736 1534 705
31744.76,MT43 TIGK 4331 6V5X WVIL ZGG1 NXRY PRF
51283.74,GB13 DNYT 8991 1632 5959 05
98881.33,BG75 WLXB 9571 49FZ VSEU U3
24060.04,TR07 2831 77VH MVZQ PZNV U6V2 LU
65953.27,BR93 0169 4380 2450 8195 2725 749F T
55363.37,GI75 SBVT AXRY ZATK M9PJ 791
81559.09,FR59 2699 0545 47MG VKKE CYIF 708
64406.28,PK20 HYCK 3XWO WFIM 4MRG NYOB
43802.69,DK55 4736 4545 8460 94
12961.98,LI18 5484 01FE 6GTW NC8Q L
23082.98,FR68 8668 8054 28LN MJEQ R0CG Y20
19889.37,GE53 AR68 9311 8255 1533 54
57035.26,CH02 9095 6PCV XGB8 4VW2 T
73608.59,CH67 1634 5QEB OYYA U2WJ P
41895.59,CZ89 4356 9758 7536 0608 9083
70783.99,RS33 6809 5704 1938 8708 81
69966.49,HU33 4013 7313 3488 9350 6433 7376
27530.19,DE50 2889 6147 2187 9279 93
90055.36,GT54 YRCS QZAS E2OU 9LJL 3P6N ZSLH
17638.33,CY17 4557 7091 OWAX MCZV LNEF ZYTV
66480.97,FO29 5091 3542 6790 71
32005.26,CY36 1042 9382 EWKF IJO6 XJLG 9XCZ
26139.89,AZ18 OOVU JCSL 76MD RG43 17NS IUVX
80800.55,PS78 FFJY UNYO YKIU OQDB TH61 IDNL C
17007.03,ME91 9874 6927 3968 4280 60
31258.46,PS05 DJAN KXDW OYT7 FB3N FDA0 0GUO 8
57007.47,NL38 QKBX 8096 2803 90
24365.02,LU59 253B EVDK XTNM UPM3
76304.64,AE02 2176 2363 2614 6941 218
7416.34,IS72 6861 4615 2185 6185 7746 49
50663.65,DE80 3834 1457 5677 9205 07
44358.63,FR67 4187 1500 42GO A9X9 JOEF S53
40006.74,MK35 777S IPIE 8AZN C57
96937.83,DK03 7607 7714 6100 21
9624.03,EE97 9392 8482 9029 3019
17731.11,LV86 ETPK YT91 XUCR BARL 9
15849.85,RO53 EXWE 1KX0 ID0M P3YG QI9B
705.54,FR98 8030 6247 67AD KFAV 05VP 684
6693.9,CH56 0384 72VG T1QI URBR C
94938.54,BA19 8803 2245 4539 9919
97164.82,CY63 2084 5138 DTAL 4QQU EJMC CRVX
74870.27,FR95 8917 4054 751K II2I BDNV D41
27383.64,FR52 7634 4301 52LF HQ6R OXUA 018
82900.62,BR46 9844 9130 7520 0910 4546 678E S
85448.41,MT54 CRUG 0261 5ZRK YBYL NXKN M1CC RTX
23968.61,FR44 0661 5232 73SH IQVX SNF8 H42
82475.53,AE04 1405 0843 5334 1412 948
20907.83,SM32 X997 3911 904R AJM9 XZ4O RZU
26391.55,CR09 3201 3802 6743 9868 7
99284.95,PL43 8915 0383 9093 4758 9134 9114
48439.28,AE15 5570 0110 3080 3259 978
38797.26,SK23 2163 8465 6703 5993 4043
38564.36,GR51 8633 783U NAHP EFZO AF7R JRK
3122.64,SK96 6398 3118 8388 1348 2457
12367.52,SM21 D840 5052 746J SHDZ MIC3 FPZ
89489.23,GL22 3452 7409 7052 48
82214.31,LT81 1863 0011 3504 4300
34935.02,NL39 TSMG 1684 1226 90
93129.94,SK14 7345 5989 0841 8385 0540
88012.28,GR70 2682 670L BIHL TSVZ NMWM ZJI
84359.22,HU62 9899 6215 9047 5848 0247 7823
93732.66,FR46 7481 3391 44UD EUAZ BDIK 806
96126.19,TR20 0692 4IYP OJD1 9JSJ JTBQ UP
22750.27,GL27 9968 9210 2941 79
49782.74,IS24 3933 6627 5195 7351 7291 57
13562.27,FR96 8508 8896 557S UK3O POBA R47
28686.86,LB73 9234 KX5U XQJA 3HPN ICF2 XFBV
22697.58,FR67 2430 3379 25VI WCEU NRNM H25
87461.57,PT95 1844 1177 4938 0391 7271 4
36796.07,PT65 1204 5359 6493 8924 8176 6
21807.43,SE91 5128 9824 3694 6626 5303
59139.6,CY27 6842 2571 WYE9 PRDI 4XUF IB9E
13197.9,FR31 4985 2176 322E ELAT DZES X74
65991.15,GL98 6746 8493 1237 51
94425.05,EE79 7773 4603 1859 8577
17396.88,FR03 5507 5362 72TE SJZV DF2X P92
93588.61,FR93 2696 7747 02AJ KBDF JDTI U74
84875.79,AD42 0070 6829 0OMH WIJV IZS8
22952.76,FR60 6578 3057 822H MVIM NKQ5 707
88421.12,FR31 9017 1750 43KI SLIG NEGJ T01
60524.56,ES98 8475 4795 2438 8926 1099
90683.44,MK29 304F J1PW CP0R V00
57650.07,SI64 7728 0101 3641 481
72366.47,IL74 8646 1774 2805 9280 135
13407.02,CH13 9943 0UQN I3JF 1FHK A
69813.9,MD55 CARY QVFG GH06 DVGS MAMD
90002.9,HU44 8289 5679 6345 8825 2253 4166
69478.09,SE47 2712 4375 5831 3908 8393
96836.77,FR17 9081 7366 281O G4JV 4SMJ C86
56837.0,MD24 FBAH VBFK G9JS IVRE EC3Q
13872.1,BA36 6786 0181 9455 2640
69698.06,GI72 PWMO 6NTR TJUK B3ER NFD
1275.9,FR89 0925 2526 35G5 Y8HM 7KIU T16
10614.67,DK13 9397 9450 6563 58
69993.41,MC61 1452 3133 19J2 4HI2 VQT1 C56
83459.09,BE88 9863 0116 9973
33001.91,LV57 XLMU KZN8 KZXR DW8L E
63072.34,DE82 0625 0918 3883 5990 14
74612.25,MD76 SYIT ZHH6 2HQG IRKG 364M
57968.46,RS77 1457 2819 3247 7241 33
41511.15,FR44 5535 9887 27GA YKBD PWWJ 137
37745.86,PT18 6735 5218 7127 5734 6249 3
18258.57,RO81 PGKQ WPPR 6BPD TABX RVPY
34149.1,MT98 YBCQ 2785 92TB 8GPV JF9U 7DFR U5P
45631.76,MR62 2196 5517 2093 9211 1263 896
18099.88,VG25 AGEQ 0526 6850 2716 6261
30817.02,LI07 8489 14XZ 4EMD NRZO O
64685.21,MC72 2184 8936 04QP GXVY I6BD F68
7417.43,GB45 EDZK 1251 9798 2285 32
82580.92,FR44 0253 8313 50KO R7LG HKM9 P59
81585.92,FR30 6913 0320 34O0 TNR2 MCMP H99
71904.02,AT71 7402 9809 0266 3589
50621.37,LT92 2002 9091 8581 1873
33747.76,LT28 4096 7278 6242 7059
98841.79,HR62 8370 8963 3562 1409 5
52610.83,NL37 HRGG 9643 8053 07
23769.63,LI75 5774 6LYR 14FF UZNM Z
47506.18,NO56 9562 2508 434
58386.63,BA86 7000 6122 2545 5211
19619.84,CZ29 7447 0087 0468 0743 5311
20356.35,AL66 7430 7583 SGHJ AXOZ KBTL AHFH
24447.88,NO76 4684 2294 765
84205.92,GB91 DWFU 6403 7213 4318 52
67531.01,FR61 3643 2781 67PJ M6EN F4LF P42
32144.31,BR22 4008 8913 2029 1526 0882 004X X
55274.23,FR30 4002 1314 16YA 40AS YH5O 089
79109.24,VG56 NPEB 5610 0907 0866 3007
27600.79,FR03 6835 0616 094Z LFJV CHPQ W79
1506.31,CY20 4551 8788 6DV6 JWQB LWJ2 A0H8
23474.9,BE12 7071 6628 9329
27451.92,PK27 DJIH SXJD JFVG 7IGV LH15
3959.56,RO24 UWWO ZVOE DLRW 2NJG ZQ7B
92933.19,FR41 9061 3822 131B NEHF LGBQ H35
39483.3,FR38 6529 7498 90Z8 06KG BSLL 052
28336.46,LU75 494W KWSE SXBY NCZE
98648.35,NO51 0389 7442 632
66621.78,ES85 9271 4741 7961 1206 7381
43424.24,DE94 9873 6570 9331 7491 85
353.13,GT07 6K1T GMEI DCTR AFUS WTFS QYCB
26663.65,AZ06 IULE QCCF SLAT UACL GXLF X5HT
96218.33,FR72 1867 0336 41SB ITJ8 HOMF L02
17430.61,FR45 0444 7123 68KG XHVH SCRT I69
64980.27,LI84 8512 0PXM DNGU 8ONS M
59173.61,PL64 1144 6448 3558 7315 5820 9127
2834.71,FR81 1015 9064 92H5 H44E ZBGF C28
2242.94,MC92 6811 8446 48LN N70P 4RIX 227
78583.24,LB91 1726 JZAC HDSF GTUZ YO8W I1Z9
66652.49,ES30 2143 9833 6866 5493 4386
19260.04,NO02 3139 5306 930
71179.17,AD02 3867 1598 D7QQ 3GBZ IXV1
89756.94,TR53 5298 1GSH V96G N6UH ZLUQ QA
50397.54,IL45 2046 7450 6082 6730 113
32694.44,FR41 0820 7889 37YI GLAY PAA1 582
83434.43,FI61 3874 8379 1434 17
49654.96,DE31 2848 9043 7394 7595 65
33328.67,CR04 7504 9251 9327 1148 7
27094.95,FR14 2403 6570 36UP DDEK 6I5F I61
83167.1,NL02 DPFP 6972 6328 01
65745.65,SK07 6895 3799 9460 5968 7305
81419.6,ME54 9771 8028 3454 9381 87
61849.14,ES64 8185 8131 2978 2061 6154
88371.91,CZ24 4915 3358 3938 2882 7847
97771.93,KW66 UCLT 8MVF GS54 SJYT RDHK GN28 UV
48271.62,FI82 6156 1841 6934 26
29587.77,LT45 7630 0926 2070 3813
1801.03,GR75 9299 599U T0BJ NNSP XND3 YQZ
75615.41,MK57 066O HIDN NFXP L29
22029.1,FR50 4685 6734 52RX YFPY A1YZ B47
14122.31,HR52 1768 4856 2784 7212 1
61299.86,IE69 KJPQ 2974 5459 2199 00
72325.42,HR88 6315 8707 1397 7166 0
6222.39,FR97 6703 3325 05GQ H77N AOQC M52
78360.73,FR71 7334 1941 14FX LKL1 YUZD X30
11059.24,ES59 5546 9807 4988 6308 3757
2196.74,LB90 7508 JRPA GZUD UOI8 JKQJ J55C
80644.89,SM38 O464 6998 083G A5PK VCQO Q2V
77877.52,FR38 8046 2119 14ZE YBV4 BMBQ 619
28873.18,ME41 5699 8091 8521 6262 44
94558.97,BR86 9479 2848 3338 3367 6877 417Y P
56393.36,ES33 7246 3834 2528 5868 5129
60852.59,NO78 3493 9512 805
1118.35,GB84 FJYS 2581 9699 1869 65
96676.53,DE14 4177 4158 7801 3414 36
42284.24,MT79 QSIY 1670 4SKA YTEL SJIB UDJ6 JKA
9687.75,PS38 XNBD CE0R R0VA Z4RN 1OEI ZBSS 4
29154.15,SK82 5180 4697 0713 1051 1077
51418.09,RS72 8218 2655 8223 7047 86
25223.21,SM56 L700 0170 439Y I0KQ HNWS RPY
65413.88,VG74 NILG 0143 0092 0852 3707
49887.04,DK97 9670 9025 0335 99
76198.85,CH87 6659 7SMV Z8NQ WD5O S
30533.15,SE65 2510 6880 6383 4418 0465
58867.58,PK46 UKWI SNVB UVVD BUOJ RR0K
35556.84,CY32 8770 8691 STTE TS3X BPI1 L9Z8
35392.29,PL58 4886 1834 1432 6104 3725 4532
38480.96,CH42 9083 8GRU 6S2F SOSA Y
2559.12,TN80 1381 4107 1505 7242 2687
92852.33,BE05 0466 8524 2432
98248.7,KW88 IFCQ IMDR LNHZ YMKD FFF3 6PVH KO
15820.65,FR51 7985 2173 62SR TD5B W1EE T79
27138.81,BA46 9449 8688 0485 6903
66846.4,DK06 3668 1214 0384 51
49370.55,GT13 ICG1 XWXB 2TVW B7CD ZIWV OHV6
78427.74,IL63 6328 3256 3028 9780 101
223.3,PK94 SKTW 4TXI DRRH GDKI SR2B
66467.7,PS05 ZQJB W5QG JRZZ S5YF DUA7 ZUYF A
6033.38,SE13 0283 4611 6506 9883 6761
23825.63,FR08 0929 8395 03IF VXGS HPTG B28
78150.49,CH22 8317 886E AMBQ YMXC 6
56859.62,FR43 4231 1956 15KO L0PE UQJU 338
30193.12,AD61 2356 4626 6HMN PABS 5DDB
79454.05,MR45 2382 7168 9918 0876 9088 284
74582.91,FR02 7963 6401 0288 P6XM CPMG I94
48866.99,SI96 6904 5455 6386 838
71361.42,FR57 0333 9292 84EO T8IJ MBVE 881
18740.03,BG53 ZLWX 4522 04Y7 KPNR I0
91261.12,KZ57 2575 R6O8 2WBT 2A5B
94603.69,FR18 5832 7919 44WQ YGXS GK9X A10
77457.93,AT29 1710 7240 7384 7530
96721.52,NO26 4661 3645 907
30987.75,MU85 AQTM 5173 3414 7281 9301 204D NN
20548.58,TR91 1992 8XA1 BFKQ G3SA UECD ZJ
66712.72,HR10 4663 0658 0269 9230 5
83025.96,SA33 17LT SMBD 6BEL 9DHL 1B7Z
78617.26,FR02 2324 4141 72FJ VWSZ Q7ZO E75
6423.28,PS84 YXHB HN7W JMYL K3G1 LNPA 5HOT 4
73497.62,BH49 JQME AR2R RD2J UXB2 XO
97529.75,FI87 2912 0783 9336 26
12800.69,AZ55 RXDO 0ZHK GQWP ZGU6 PVOK UYDP
82330.84,FR93 4939 9490 57NP YCTV CNHR D54
21297.36,MT63 APMX 9560 60J6 2MUV CZL8 997W PGC
42824.69,FR67 5409 1565 37RS X8MU DH13 M84
92825.89,GR14 5633 9406 W8XW 1ZM4 1SSQ QJD
89205.33,PS76 AKFI YXBX BD6Z MEE1 YACJ CWW3 E
40564.67,GL48 0187 7153 2997 65
10979.06,IE07 COPH 3731 1489 0051 91
91355.82,IT90 R791 3088 8810 KP4N QDQL AYK
3348.81,FR82 3983 7703 54ZQ JNBY I8FY 951
85557.38,LV47 AYLX CQHI QXVY QJGM B
21258.62,FR32 8956 1168 60KC PQUI DQMV I20
92738.78,FR86 0956 3844 72EJ 3YMY MEUP A63
60023.29,FR77 0983 2821 37UJ OCGM 4OYE H90
36196.22,KW21 ZXQF V2AK FREO SUIW N9QD 741G AT
15595.6,GL76 5108 3010 4017 26
6082.34,RS27 4215 2756 9652 5237 62
47825.68,IT52 Y512 3087 7473 EXHN OYGI HCE
89559.28,FR34 9168 7046 68IR BHHX RRJQ S60
36886.3,SK55 2887 9330 8633 0912 6100
4377.61,BH73 UAXD SFGQ CQ75 A8HZ ZV
53729.29,HU85 8201 2636 7875 2375 5047 1723
23731.08,AL42 4603 8252 Z1FA CKDU VFZJ CQ9Y
89260.61,FR26 1956 3785 32UY 9ZXU 5UNY J23
67648.07,TR67 7124 4X78 36PQ SWRO N0F3 7T
15298.89,PL40 3461 8714 5719 9095 8089 9857
90960.15,AT88 2522 8801 9345 9473
80529.08,RO41 YJJJ HXS0 EIGV BO6W W7XX
89985.43,PK94 XUIL RD7K SUAN FCO1 FDNK
54852.67,FR87 5914 2716 39YK LN7D DOQH T08
86283.14,PS67 GOOZ AVTY ZNMQ UPZO TDSF LGGJ L
82299.67,GR47 3196 761D OH9E UOBC RYLQ MXC
94834.69,FR59 7339 9192 82AK A4ET BVLZ E23
21144.2,GT78 G5TR U9H8 R5QL YBQS XCG9 FHVA
16166.59,SI20 8206 9661 8381 601
89437.28,KW55 IJHL A1W2 XN5I S5KP SVIE NSDC LX
82186.11,KZ40 489B RIGJ IMTD ZWYV
7096.54,FR56 6618 8095 44YU ONFB 4JFY J27
2121.49,BA62 7005 3640 2620 1866
64142.72,FR07 6899 4460 25FK XOLJ BXRT Z38
34911.15,SM93 C000 9102 7199 W1EJ DRHE PS8
79120.91,FR63 6597 9931 55KG GXVW SISF Z33
4966.64,SI32 6914 2862 3857 368
29316.21,IS36 2447 5840 5505 3687 7191 18
17710.8,HU40 0984 5903 7535 5262 7114 2615
78729.09,BG43 IWDW 2574 82ZQ AZQO KD
59110.02,GT16 8BD2 IEFI SBRA NUPG XRHH KWEG
37381.77,KZ12 707P FALL VGCQ DYLW
16684.15,FO63 3128 1569 0180 64
3051.23,BR90 3629 4862 5036 0418 1135 093Q X
54002.43,IL18 6294 3774 8951 9234 158
17558.01,AZ13 FPJR 0LS0 CYUS 1EG6 DRBQ IECN
49846.55,TR97 4630 4G8C HGLT SBYM LNBR HU
23334.18,FR97 9370 3538 87WT BAL6 SDUQ X14
94694.61,FO22 9902 2715 0142 52
77999.43,SE39 6743 8832 7195 5124 7298
22789.13,NO10 8751 4275 576
9113.47,GE34 XO83 0349 5970 0270 96
8711.21,NO58 7689 3321 113
98466.53,IL49 8217 5739 7735 5416 295
62576.95,LT92 8079 4866 0094 0134
4926.02,TN35 6015 4036 2397 2008 1113
76781.98,EE62 7304 4992 8682 1497
75335.42,KW88 GJBS ESEF 2TOX RV2B HUW2 F8T1 KF
81072.82,RO59 WRUX JULY PKMW MG46 5GUZ
28400.22,FR27 3419 8084 20ZV 5US6 63FX 548
18679.01,AE24 6655 0130 2822 0286 355
43434.2,FR57 7426 8368 45MR SMAX 7ZZ5 872
6090.25,FR96 4529 0086 16RO AA25 FAJH 341
30903.38,CR49 2991 2353 8315 8475 7
55921.27,IE25 SEYS 1770 2880 0400 58
21294.76,AE69 6041 8266 2718 7956 591
80125.28,AD27 7215 9305 VVG9 4VT1 DVSX
31626.66,FR78 6797 6318 818N R9AJ EBC2 O48
48248.6,KW06 SOUO O94B YIAP JHTJ YEQQ BBBM DZ
45526.85,FR63 5386 9994 63RP CXO8 4ENJ C94
65294.54,BH91 MWAV 4IRD N16H SZQZ WJ
53757.83,SI15 9774 6516 2914 218
85562.88,AD62 6542 6394 HNLG QCZ4 XSWT
81222.55,VG71 QRTF 2968 7577 0072 7600
88713.38,NO09 1073 4430 091
90096.52,FO34 3171 5270 5120 35
89538.38,AD71 8756 9472 K4GQ QTCV 5OJM
95869.28,FR32 6929 8056 48ND TWLN OLTE T60
62027.3,FR48 9573 9421 486U Y3K5 3UF0 J09
56868.9,AT03 0303 0757 4166 7753
38151.45,LT29 7377 9902 4308 8693
28781.73,AE34 1236 0201 2777 0700 711
72751.59,BH18 HXYQ ZPJM ERSJ QJOP YO
59931.26,FO87 1219 5051 9955 01
5913.4,LB09 7143 CGXY WJCS 7G8M PZCQ NJ8P
35995.44,BE02 3018 0363 5993
75910.71,DE22 6557 1614 6402 5901 08
70960.86,GR86 0679 279Z 470W KCXE 7IQB 0X7
25260.46,CZ50 4470 1117 5759 3065 6310
58134.39,IL16 0546 8663 1427 8418 781
93335.59,AD37 2835 9399 YSVX AIIR WRIT
91075.19,LT08 7868 4393 1596 4108
52155.18,DE12 6987 8016 0175 7850 00
95820.28,BA05 4632 1375 9365 2772
74131.6,LU06 194P SDYH XWWR GXXD
96547.47,CY97 1775 9111 6CRB CZUA BBHM 7GOH
35396.28,MR17 8834 4142 1177 0411 0991 126
72713.14,SA50 950I SWEW 0QK7 NSGS DS3J
7766.83,FR32 4112 8120 002E VYHU 3LOQ N90
7007.37,ES66 8598 9447 4149 1663 5124
52614.32,AT96 0538 2678 5043 5823
54411.06,FR49 3423 8244 22I1 JY81 CSLT K38
31406.74,IS09 5017 9312 6487 9522 6004 54
20828.2,BH21 LGPJ G4YK CMRB 205U MQ
19651.66,MC53 4580 3193 60S0 KZTU LQKD I39
75010.03,TR88 2344 6ZMG UQHQ JNST VNF0 74
951.89,LT66 1160 0658 2672 8769
88648.58,FR42 1922 8224 227G HHKH 1GI9 E52
19851.68,SM76 H565 3541 650J NXMC Y0CI IGI
49147.2,FR77 2625 0577 50RG 8VRZ YKXJ 433
72376.03,VG51 KIBD 3787 9812 0967 0546
68694.05,RS02 2674 0295 4343 2241 85
88873.27,MT79 SZVG 2697 2GBS AXMN WJ8Q 39AX VMJ
98600.44,GI21 SIUI PVDR MC5A 85TS TSN
69257.53,PL82 0960 1219 4671 7715 3342 8115
16254.44,BG37 SYNI 6638 65X7 OC60 NN
